date	code	close	amount	zhang	zhen	sma_up	sma_down	macd	is_up	consecutive_upper_days	upper_count_in_days	ma_amount_3_days_ratio	ma_amount_5_days_ratio	ma_amount_8_days_ratio	ma_amount_11_days_ratio	total_score	amount_score	free_amount	free_amount_score	increase	increase_score	amplitude	amplitude_score	jgcyd	jgcyd_score	lspf	lspf_score	focus	focus_score	last_desire_daily	desire_daily_score	high_rating	0_open	0_high	0_low	0_close	0_amount	0_day_open	0_day_max	0_day_min	0_day_close	1_open	1_high	1_low	1_close	1_amount	1_day_open	1_day_max	1_day_min	1_day_close	2_open	2_high	2_low	2_close	2_amount	2_day_open	2_day_max	2_day_min	2_day_close	3_open	3_high	3_low	3_close	3_amount	3_day_open	3_day_max	3_day_min	3_day_close
20250508	300511	5.41	2.8664232	0.009328358	0.059273423	1	1	0.034620157	0	0	0	2.454	0.945	0.896	0.522	18	0	16.93032	0	1.121495327	0	36.66666667	50	28.3026	0	61.6501	50	80.5333	80	1.83	0	FALSE	5.34	5.54	5.23	5.41	317151648	-1.293900185	2.402957486	-3.327171904	0	5.41	5.47	5.31	5.33	215419648	0	1.109057301	-1.848428835	-1.478743068	5.31	5.35	5.12	5.22	213292976	-1.848428835	-1.109057301	-5.360443623	-3.512014787	5.3	5.65	5.28	5.43	365562976	-2.033271719	4.436229205	-2.402957486	0.369685767
20250508	300512	7.97	0.300295893	0.019181586	0.032133676	1	1	0.280018781	0	0	0	1.337	1.501	1.191	0.673	10	0	28.122994	0	24.33697348	0	39.40972222	50	8.00828	0	63.7081	50	60.6667	0	1	0	FALSE	7.82	8.03	7.78	7.97	27365436	-1.882057716	0.752823087	-2.383939774	0	7.94	8.02	7.8	7.84	22091796	-0.376411543	0.627352572	-2.132998745	-1.631116688	8	8.04	7.87	7.95	25672600	0.376411543	0.878293601	-1.254705144	-0.250941029	8.08	8.23	7.85	7.88	24727386	1.380175659	3.262233375	-1.505646173	-1.12923463
20250508	300521	22.99	0.847275067	0.042630385	0.064976959	1	1	0.658265568	0	0	0	0.6	2.033	1.614	1.009	28	0	34.948571	100	20.36649215	0	32.81609195	50	30.7687	80	59.3565	0	62.8	0	2.59	0	FALSE	22.05	23.11	21.7	22.99	91402648	-4.088734232	0.521966072	-5.611135276	0	22.9	23.09	22	22.56	87032744	-0.391474554	0.434971727	-4.306220096	-1.870378425	22.7	23.5	22.66	23.19	84013232	-1.261418008	2.218355807	-1.435406699	0.869943454	23.58	24.34	22.95	23.25	133999792	2.566333188	5.872118312	-0.173988691	1.13092649
20250508	300527	8.15	2.721776293	0.022584693	0.048780488	1	1	0.068745504	0	0	0	2.654	1.392	0.636	0.478	33	0	82.103615	100	18.11594203	0	33.78176383	50	28.2068	0	63.3461	50	81.3333	80	2.44	0	FALSE	7.86	8.17	7.79	8.15	297736288	-3.558282209	0.245398773	-4.417177914	0	8.15	8.35	8.01	8.01	277179872	0	2.45398773	-1.717791411	-1.717791411	7.94	8.74	7.82	8.43	523723808	-2.576687117	7.239263804	-4.049079755	3.435582822	8.39	8.44	8.1	8.13	322963456	2.944785276	3.558282209	-0.613496933	-0.245398773
20250508	300528	9.23	2.298668	0.005446623	0.039106145	1	1	0.276405562	0	0	0	0.868	1.203	2.069	1.412	25	0	31.410859	100	28.73082287	0	44.22492401	50	23.3428	0	55.94	0	77.3333	50	1	0	FALSE	9.15	9.3	8.95	9.23	195009360	-0.866738895	0.758396533	-3.033586132	0	9.16	9.16	8.87	8.9	142080960	-0.758396533	-0.758396533	-3.900325027	-3.575297941	8.83	8.95	8.83	8.88	94746928	-4.333694475	-3.033586132	-4.333694475	-3.791982665	8.94	9.03	8.78	8.81	85553848	-3.141928494	-2.166847237	-4.875406284	-4.550379198
20250508	300530	27	2.392880587	0.037264695	0.086820493	1	1	0.485636661	0	0	0	1.768	0.888	0.698	1.054	35	0	45.203258	100	36.57056146	0	58.1369248	100	20.1824	0	62.5177	50	74	50	1.09	0	FALSE	25.9	27.79	25.57	27	281696256	-4.074074074	2.925925926	-5.296296296	0	26.95	31.47	26.01	28.93	379419872	-0.185185185	16.55555556	-3.666666667	7.148148148	29.3	31.05	28.22	30.5	491755872	8.518518519	15	4.518518519	12.96296296	29.7	30.7	28.88	29.18	340613056	10	13.7037037	6.962962963	8.074074074
20250508	300531	15.91	4.45469824	-0.005625	0.018412698	1	1	0.702268943	0	0	0	0.933	0.797	2.273	5.168	38	0	47.582522	100	42.81867145	50	65.27237354	100	21.1767	0	58.7138	0	85.4667	80	-1.18	0	FALSE	15.91	16.04	15.75	15.91	276223264	0	0.817096166	-1.00565682	0	16.07	16.83	15.86	16.16	614487488	1.00565682	5.782526713	-0.314267756	1.571338781	15.88	16.12	15.7	16	415636288	-0.188560654	1.319924576	-1.319924576	0.565681961	16.16	16.18	15.58	15.66	298139648	1.571338781	1.697045883	-2.07416719	-1.571338781
20250508	300534	9.42	1.20815608	0.017278618	0.032715376	1	1	-0.043559621	0	0	0	1.038	0.616	0.571	0.478	10	0	24.738017	0	4.203539823	0	26.94763729	0	20.8751	0	65.0644	50	71.6	50	1.75	0	FALSE	9.17	9.47	9.17	9.42	130467136	-2.653927813	0.530785563	-2.653927813	0	9.42	9.75	9.27	9.3	165742400	0	3.503184713	-1.592356688	-1.27388535	9.25	9.36	9.19	9.26	110693488	-1.804670913	-0.636942675	-2.441613588	-1.6985138	9.36	9.68	9.31	9.63	279855968	-0.636942675	2.760084926	-1.167728238	2.229299363
20250508	300536	10.08	0.783634373	0.014084507	0.047715736	1	1	-0.018486789	0	0	0	0.809	0.944	0.742	0.771	13	0	19.911895	0	26.15769712	0	46.45669291	50	40.5762	80	56.3862	0	67.4667	0	1	0	FALSE	9.92	10.32	9.85	10.08	75646488	-1.587301587	2.380952381	-2.281746032	0	10.06	10.08	9.75	9.81	64408816	-0.198412698	0	-3.273809524	-2.678571429	9.68	9.86	9.52	9.69	72046856	-3.968253968	-2.182539683	-5.555555556	-3.869047619	9.79	10.23	9.64	10.07	87606712	-2.876984127	1.488095238	-4.365079365	-0.099206349
20250508	300542	19.4	5.375148267	-0.00716479	0.032074496	1	1	0.574006379	0	0	0	1.055	0.89	6.937	5.252	45	60	49.868384	100	7.897664071	0	70.04341534	100	25.1083	0	57.2753	0	85.7333	80	1	0	FALSE	19.8	19.95	19.33	19.4	397342112	2.06185567	2.835051546	-0.360824742	0	19.38	19.59	18.8	19.07	301863840	-0.103092784	0.979381443	-3.092783505	-1.701030928	19.13	19.59	18.95	19.5	303423840	-1.391752577	0.979381443	-2.319587629	0.515463918	19.6	19.79	19	19.08	273450432	1.030927835	2.010309278	-2.06185567	-1.649484536
20250508	300553	52.19	2.7039392	-0.012674991	0.04075663	1	1	1.628904298	0	0	1	0.888	1.159	1.907	1.277	33	0	23.153193	0	42.20708447	50	75.1094434	100	38.6789	80	63.0564	50	71.3333	50	-1.43	0	FALSE	52.34	53.37	51.28	52.19	243414400	0.287411381	2.260969534	-1.743629048	0	52.05	52.56	50.88	51.34	148006512	-0.268250623	0.708948074	-2.510059398	-1.628664495	51.52	53.99	51	53.63	207309024	-1.283770837	3.448936578	-2.280130293	2.759149262	53.32	54.3	52.89	53.26	142104640	2.165165741	4.0429201	1.341253114	2.050201188
