date	code	close	amount	zhang	zhen	sma_up	sma_down	macd	is_up	consecutive_upper_days	upper_count_in_days	ma_amount_3_days_ratio	ma_amount_5_days_ratio	ma_amount_8_days_ratio	ma_amount_11_days_ratio	total_score	amount_score	free_amount	free_amount_score	increase	increase_score	amplitude	amplitude_score	jgcyd	jgcyd_score	lspf	lspf_score	focus	focus_score	last_desire_daily	desire_daily_score	high_rating	0_open	0_high	0_low	0_close	0_amount	0_day_open	0_day_max	0_day_min	0_day_close	1_open	1_high	1_low	1_close	1_amount	1_day_open	1_day_max	1_day_min	1_day_close	2_open	2_high	2_low	2_close	2_amount	2_day_open	2_day_max	2_day_min	2_day_close	3_open	3_high	3_low	3_close	3_amount	3_day_open	3_day_max	3_day_min	3_day_close
20250508	688667	57.62	1.946410027	-0.023389831	0.072842999	1	1	3.384387555	1	4	4	3.892	10.581	7.678	4.502	20	0	25.066713	0	35.0996483	0	71.22137405	100	29.056	0	62.189	50	71.7333	50	1	0	FALSE	59.18	60.68	56.56	57.62	142306480	2.707393266	5.310656022	-1.839639014	0	57.89	58.29	54.7	55.09	102711136	0.468587296	1.162790698	-5.067684832	-4.390836515	55.56	56.4	55.02	56.07	65374136	-3.575147518	-2.117320375	-4.51232211	-2.690038181	56.41	56.98	55.2	55.43	50272768	-2.09996529	-1.110725443	-4.19993058	-3.800763624
20250508	301131	46.86	4.056693973	-0.054479419	0.050888889	1	1	2.820549471	1	5	5	1.412	7.747	10.714	5.715	33	0	9.2296832	0	42.43161094	50	74.4966443	100	30.9677	80	65.5925	50	79.7333	50	1	0	FALSE	46.99	47.29	45	46.86	314832864	0.277422108	0.917626974	-3.969270166	0	46.83	47.1	44.7	44.81	212471200	-0.064020487	0.512163892	-4.609475032	-4.374733248	45.05	46.15	44.53	45.62	210613904	-3.862569356	-1.515151515	-4.972257789	-2.646180111	45.56	49.18	45.01	48.4	371137024	-2.774221084	4.950917627	-3.947930004	3.286384977
20250508	301258	28.45	1.564402933	-0.001754386	0.017468806	1	1	0.52028405	1	3	9	0.916	0.554	2.041	3.283	15	0	8.501872	0	25.71807335	0	50.19455253	100	16.8512	0	59.2429	0	72.8	50	1	0	FALSE	28.44	28.54	28.05	28.45	115174288	-0.035149385	0.316344464	-1.405975395	0	28.45	28.48	27.59	27.86	97416176	0	0.105448155	-3.0228471	-2.073813708	28.26	28.33	27.51	27.75	74602072	-0.667838313	-0.421792619	-3.304042179	-2.460456942	28	30.4	27.8	29.6	275706112	-1.58172232	6.854130053	-2.284710018	4.042179262
20250508	301162	65	1.943997867	-0.035751372	0.085669291	1	1	0.508290567	1	3	4	1.339	1.097	0.798	0.666	35	0	31.013735	100	31.31313131	0	46.7874447	50	24.6191	0	72.1803	100	73.4667	50	-1.44	0	FALSE	67.3	68.94	63.5	65	213307040	3.538461538	6.061538462	-2.307692308	0	63.91	64.5	62.22	62.95	156088208	-1.676923077	-0.769230769	-4.276923077	-3.153846154	63.15	64.99	62.7	63.69	120328152	-2.846153846	-0.015384615	-3.538461538	-2.015384615	63.7	64.48	61.62	62.8	109246784	-2	-0.8	-5.2	-3.384615385
20250508	301057	15.57	0.55402776	0.030443415	0.058784235	1	1	0.236474029	1	1	1	1.1	1.289	1.127	0.783	10	0	11.247127	0	22.21350078	0	42.92155095	50	12.5969	0	65.9604	50	61.8667	0	1.19	0	FALSE	15.18	15.85	14.97	15.57	68164784	-2.504816956	1.798330122	-3.853564547	0	15.53	15.71	15.38	15.44	40938312	-0.256904303	0.899165061	-1.22029544	-0.834938985	15.78	15.97	15.29	15.5	51427448	1.348747592	2.569043031	-1.798330122	-0.449582531	15.74	16.25	15.31	15.9	100275344	1.091843288	4.367373154	-1.66987797	2.119460501
20250508	688178	23.99	0.799160613	-0.002909393	0.034556314	1	1	0.927342496	1	4	4	1.22	2.419	2.205	1.132	23	0	13.1066675	0	28.97849462	0	51.10844817	100	33.8137	80	63.6208	50	63.7333	0	1	0	FALSE	24.25	24.25	23.44	23.99	34132464	1.08378491	1.08378491	-2.292621926	0	23.89	24.1	23.2	23.73	34804032	-0.41684035	0.458524385	-3.293038766	-1.08378491	23.85	25.22	23.51	23.98	67812792	-0.58357649	5.127136307	-2.000833681	-0.041684035	23.98	24.18	23.22	23.39	39486548	-0.041684035	0.791996665	-3.209670696	-2.501042101
20250508	301509	35.35	5.423317973	-0.065556437	0.038942581	1	1	2.090336233	1	3	7	1.836	1.454	2.89	3.436	42	60	14.939886	0	48.59184531	50	71.35746606	100	29.3612	0	70.423	100	79.2	50	1	0	FALSE	36.17	36.55	35.18	35.35	428017120	2.319660537	3.394625177	-0.480905233	0	34.77	37.5	34.77	35.61	407247616	-1.640735502	6.082036775	-1.640735502	0.735502122	34.7	36.11	34.03	35.61	333941440	-1.838755304	2.149929279	-3.734087694	0.735502122	35.03	35.5	34.05	35.2	297984000	-0.90523338	0.424328147	-3.677510608	-0.424328147
20250508	300972	150.03	7.559531947	-0.0651754	0.086802721	1	1	4.784446362	1	18	10	0.931	1.748	1.815	2.209	65	60	134.94886	100	49.13518887	50	81.27849041	100	33.8647	80	69.6948	100	79.4667	50	1	0	FALSE	159.27	159.76	147	150.03	799208448	6.158768246	6.485369593	-2.019596081	0	146.41	153.9	146	153.01	430932864	-2.412850763	2.579484103	-2.686129441	1.986269413	149.95	153.36	149.01	151.2	373403136	-0.053322669	2.219556089	-0.679864027	0.779844031	151.2	156.88	147.84	155.79	406053920	0.779844031	4.565753516	-1.459708058	3.839232154
20250508	688117	31.86	2.350210933	-0.021498771	0.031780994	1	1	0.699014246	1	3	4	1.322	1.019	1.168	0.711	18	0	25.766333	0	9.109589041	0	30.82437276	50	34.8723	80	66.6951	50	67.0667	0	-2.72	0	FALSE	32.1	32.79	31.78	31.86	186988720	0.753295669	2.919020716	-0.251098556	0	32.07	32.59	31.45	31.86	179609536	0.65913371	2.291274325	-1.2868801	0	31.66	32.59	31.02	32.37	186467600	-0.62774639	2.291274325	-2.63653484	1.600753296	32.58	33.3	31.91	32.45	147578320	2.259887006	4.519774011	0.156936598	1.851851852
20250508	300824	12	3.632844693	0.001669449	0.03565365	1	1	0.512841023	1	7	7	0.744	1.513	8.296	4.172	35	0	31.256881	100	37.77267509	0	71.0292249	100	18.884	0	66.4923	50	76.1333	50	1	0	FALSE	11.93	12.2	11.78	12	247225984	-0.583333333	1.666666667	-1.833333333	0	11.89	12.58	11.71	12.3	376220768	-0.916666667	4.833333333	-2.416666667	2.5	12.31	12.69	11.92	12.22	278896768	2.583333333	5.75	-0.666666667	1.833333333	12.27	13.95	12.02	13.08	472899776	2.25	16.25	0.166666667	9
